instruction_text,thisN,thisTrialN,thisRepN,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,clip_file,clip_path,sound_path,movie,subtitles,n_cut,clip_num,first_cut,second_cut,clip_duration,attention_check_question,attention_check_correct,attention_check_distractor_1,attention_check_distractor_2,attention_check_distractor_3,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,instruction_trials.thisRepN,instruction_trials.thisTrialN,instruction_trials.thisN,instruction_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,instructions.started,text_instruction.started,key_resp_instruction.started,instructions.stopped,instruction_trials.key_resp_instruction.keys,instruction_trials.key_resp_instruction.rt,instruction_trials.key_resp_instruction.duration,informed_consent.started,slider_informed_consent.started,text_informed_consent.started,informed_consent.stopped,slider_informed_consent.response,slider_informed_consent.rt,begin_practice.started,begin_practice_text.started,begin_practice.stopped,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,practice_clip.started,prac_fixation_cross.started,prac_clip.started,prac_sound.started,prac_feedback.started,prac_fixation_cross.stopped,prac_sound.stopped,prac_clip.stopped,practice_clip.stopped,prac_all_cut_rts,Practice_correct_key_required,practice_attention_check.started,prac_attention_resp.started,prac_question.started,prac_options.started,practice_attention_check.stopped,practice_trials.prac_attention_resp.keys,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,begin_experiment.started,begin_experiment_text.started,begin_experiment_text.stopped,begin_experiment.stopped,video_used,audio_used,condition_modality,experiment_clip.started,exp_fixation_cross.started,exp_fixation_cross.stopped,exp_clip.started,exp_sound.started,exp_clip.stopped,exp_sound.stopped,experiment_clip.stopped,all_cut_rts,experiment_attention_check.started,experiment_attention_check.stopped,experiment_trials.exp_atttention_resp.keys,experiment_pause.started,experiment_pause.stopped,experiment_trials.exp_pause_resp.keys,correct_key_required,exp_atttention_resp.started,exp_question.started,exp_options.started,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,exp_pause_text.started,exp_pause_resp.started,exp_countdown.started,exp_pause_resp.stopped,exp_countdown.stopped,end.started,text_end.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Herzlich willkommen!

Vielen Dank, dass Sie an unserer Studie teilnehmen. Die Untersuchung wird insgesamt etwa 35 Minuten in Anspruch nehmen.

Bevor wir beginnen, beachten Sie bitte folgende Voraussetzungen für die Teilnahme:
• Sie sind mindestens 18 Jahre alt.
• Ihre Muttersprache ist Deutsch.

(Drücken Sie die Leertaste, um fortzufahren)",0,0,0,space,6.078241100000014,None,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0747750000009546,,0.028246599998965394,0.0747750000009546,0.0747750000009546,6.187939600000391,space,6.078241100000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,2026-04-01_17h02.24.331,exp_sofc,,2025.2.3,59.91170213366873,2026-04-01 17h02.26.158194 +0200,
"Ablauf der Studie

Ihnen werden in schneller Abfolge viele kurze Filmclips gezeigt.
Ihre Aufgabe ist einfach:

Drücken Sie jedes Mal die Leertaste, wenn Sie einen Filmschnitt (Cut) erkennen.

Zusätzlich werden Ihnen gelegentlich kurze Verständnisfragen zu den gezeigten Clips gestellt.

(Drücken Sie die Leertaste, um fortzufahren),",1,1,0,space,8.095842299997457,None,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,6.228665499998897,,6.188146000000415,6.228665499998897,6.228665499998897,14.32645649999904,space,8.095842299997457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,2026-04-01_17h02.24.331,exp_sofc,,2025.2.3,59.91170213366873,2026-04-01 17h02.26.158194 +0200,
"Freiwilligkeit Ihrer Teilnahme

Ihre Teilnahme an dieser Studie ist absolut freiwillig. Sie können das Experiment jederzeit und ohne Angabe von Gründen abbrechen, ohne dass Ihnen daraus irgendwelche Nachteile entstehen.

Sollten Sie die Studie vorzeitig beenden, werden Ihre bis dahin erhobenen Daten umgehend gelöscht und nicht gespeichert.

(Drücken Sie die Leertaste, um fortzufahren)",2,2,0,space,3.180157099999633,None,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,14.445367399999668,,14.326614500001597,14.445367399999668,14.445367399999668,17.631945400000404,space,3.180157099999633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,2026-04-01_17h02.24.331,exp_sofc,,2025.2.3,59.91170213366873,2026-04-01 17h02.26.158194 +0200,
"Datenschutz und Anonymität

Die Erhebung und Auswertung Ihrer Daten erfolgt am Fachbereich Psychologie der Universität Tübingen und ist vollständig anonym. Ihr Name wird zu keinem Zeitpunkt erfragt oder gespeichert. Niemand wird Ihre Daten mit Ihrer Person in Verbindung bringen können.

Die anonymisierten Experimentaldaten werden nach Abschluss der Erhebung für mindestens 10 Jahre gespeichert und zu Forschungszwecken in einer öffentlichen Datenbank zugänglich gemacht.

(Drücken Sie die Leertaste, um fortzufahren),",3,3,0,space,5.960839599996689,None,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,17.68844330000138,,17.632153599999583,17.68844330000138,17.68844330000138,23.66555789999984,space,5.960839599996689,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,2026-04-01_17h02.24.331,exp_sofc,,2025.2.3,59.91170213366873,2026-04-01 17h02.26.158194 +0200,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

(Drücken Sie die Leertaste, um fortzufahren)",4,4,0,space,9.62963630000013,None,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,23.7077864999992,,23.665756999998848,23.7077864999992,23.7077864999992,33.338761899998644,space,9.62963630000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,2026-04-01_17h02.24.331,exp_sofc,,2025.2.3,59.91170213366873,2026-04-01 17h02.26.158194 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.340430899999774,33.36361770000076,33.36361770000076,36.96145329999854,ich stimme zu,3.605771400001686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,2026-04-01_17h02.24.331,exp_sofc,,2025.2.3,59.91170213366873,2026-04-01 17h02.26.158194 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.96150449999914,36.97761840000021,41.96957150000162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,2026-04-01_17h02.24.331,exp_sofc,,2025.2.3,59.91170213366873,2026-04-01 17h02.26.158194 +0200,
,0,0,0,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,wurst,sub,1,9,3666.0,NA,11267,Wer sind die alten Menschen wahrscheinlich?,Großeltern,Eltern,Geschwister,Nachbarn,4,17.34092740000051,None,,,,,,,,,0,0,0,10,,,,,42.79411529999925,,,,,,,,,,,,,,,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,visual,nosub,True,42.77478909999991,42.79411529999925,42.79411529999925,42.78600816666682,42.79411529999925,43.004325199999585,44.0552448999988,54.9811449000008,54.8160996000006,[6.798117199999979],3,54.97539029999825,54.9811449000008,54.9811449000008,54.9811449000008,72.32885090000127,4,17.34092740000051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,2026-04-01_17h02.24.331,exp_sofc,,2025.2.3,59.91170213366873,2026-04-01 17h02.26.158194 +0200,
,1,1,0,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,hund,sub,0,26,NA,NA,9333,Wie wirkt die Frau?,amüsiert,hasserfüllt,traurig,ängstlich,None,,,,,,,,,,,0,1,1,3,,,,,72.56593459999931,,,,,,,,,,,,,,,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,audiovisual,nosub,False,72.5557587000003,72.83385669999916,73.03555910000068,73.03390076666643,72.56593459999931,73.03555910000068,83.25657050000154,83.25657050000154,82.90726379999978,[],,83.05152369999996,,,,83.05157029999828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,2026-04-01_17h02.24.331,exp_sofc,,2025.2.3,59.91170213366873,2026-04-01 17h02.26.158194 +0200,
,2,2,0,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,hund,sub,1,25,5466.0,NA,8300,Mit was essen die Personen?,mit ihren Händen,mit Messer und Gabel,mit Stäbchen,mit einem Löffel,2,6.167189200001303,None,,,,,,,,,0,2,2,11,,,,,83.25657050000154,,,,,,,,,,,,,,,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,audiovisual,nosub,True,83.25080430000162,83.55919989999893,83.76077630000145,83.75904246666711,83.25657050000154,83.76077630000145,,94.79820390000168,94.64412259999881,[],2,94.7923097999992,94.79820390000168,94.79820390000168,94.79820390000168,100.97794689999864,2,6.167189200001303,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,2026-04-01_17h02.24.331,exp_sofc,,2025.2.3,59.91170213366873,2026-04-01 17h02.26.158194 +0200,
,3,3,0,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,weißt,sub,0,5,NA,NA,9767,Wer trägt die Leiter?,die Frau,der Mann,beide,keiner,3,5.944878600002994,None,,,,,,,,,0,3,3,0,,,,,101.17814740000176,,,,,,,,,,,,,,,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,visual,sub,True,101.17181759999949,101.48630400000184,101.68858919999911,101.68708686666675,101.17814740000176,101.68858919999911,102.9390925000007,110.86820109999826,110.71991450000132,[5.969483200002287],4,110.86325289999877,110.86820109999826,110.86820109999826,110.86820109999826,116.8197470999985,3,5.944878600002994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,2026-04-01_17h02.24.331,exp_sofc,,2025.2.3,59.91170213366873,2026-04-01 17h02.26.158194 +0200,
