instruction_text,thisN,thisTrialN,thisRepN,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,clip_file,clip_path,sound_path,movie,subtitles,n_cut,clip_num,first_cut,second_cut,clip_duration,attention_check_question,attention_check_correct,attention_check_distractor_1,attention_check_distractor_2,attention_check_distractor_3,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trials.thisRepN,instruction_trials.thisTrialN,instruction_trials.thisN,instruction_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,instructions.started,text_instruction.started,key_resp_instruction.started,instructions.stopped,instruction_trials.key_resp_instruction.keys,instruction_trials.key_resp_instruction.rt,instruction_trials.key_resp_instruction.duration,informed_consent.started,slider_informed_consent.started,text_informed_consent.started,informed_consent.stopped,slider_informed_consent.response,slider_informed_consent.rt,begin_practice.started,begin_practice_text.started,begin_practice.stopped,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,practice_clip.started,prac_feedback.started,prac_fixation_cross.started,prac_fixation_cross.stopped,prac_clip.started,prac_sound.started,prac_sound.stopped,prac_clip.stopped,practice_clip.stopped,prac_all_cut_rts,practice_attention_check.started,practice_attention_check.stopped,practice_trials.prac_attention_resp.keys,Practice_correct_key_required,prac_attention_resp.started,prac_question.started,prac_options.started,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,begin_experiment.started,begin_experiment_text.started,begin_experiment.stopped,video_used,audio_used,condition_modality,experiment_clip.started,exp_fixation_cross.started,exp_fixation_cross.stopped,exp_clip.started,exp_sound.started,exp_sound.stopped,exp_clip.stopped,experiment_clip.stopped,all_cut_rts,experiment_attention_check.started,experiment_attention_check.stopped,experiment_trials.exp_atttention_resp.keys,experiment_pause.started,experiment_pause.stopped,experiment_trials.exp_pause_resp.keys,correct_key_required,exp_atttention_resp.started,exp_question.started,exp_options.started,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,exp_pause_text.started,exp_pause_resp.started,exp_countdown.started,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,exp_pause_resp.stopped,exp_countdown.stopped,end.started,text_end.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Herzlich willkommen!

Vielen Dank, dass Sie an unserer Studie teilnehmen. Die Untersuchung wird insgesamt etwa 35 Minuten in Anspruch nehmen.

Bevor wir beginnen, beachten Sie bitte folgende Voraussetzungen für die Teilnahme:
• Sie sind mindestens 18 Jahre alt.
• Ihre Muttersprache ist Deutsch.

(Drücken Sie die Leertaste, um fortzufahren)",0,0,0,space,1.6071164999884786,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.03395839998847805,,0.010271699997247197,0.03395839998847805,0.03395839998847805,1.649601699988125,space,1.6071164999884786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
"Ablauf der Studie

Ihnen werden in schneller Abfolge viele kurze Filmclips gezeigt.
Ihre Aufgabe ist einfach:

Drücken Sie jedes Mal die Leertaste, wenn Sie einen Filmschnitt (Cut) erkennen.

Zusätzlich werden Ihnen gelegentlich kurze Verständnisfragen zu den gezeigten Clips gestellt.

(Drücken Sie die Leertaste, um fortzufahren),",1,1,0,space,3.7897996999963652,None,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,1.6704910999978893,,1.6497065000003204,1.6704910999978893,1.6704910999978893,5.472400099999504,space,3.7897996999963652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
"Freiwilligkeit Ihrer Teilnahme

Ihre Teilnahme an dieser Studie ist absolut freiwillig. Sie können das Experiment jederzeit und ohne Angabe von Gründen abbrechen, ohne dass Ihnen daraus irgendwelche Nachteile entstehen.

Sollten Sie die Studie vorzeitig beenden, werden Ihre bis dahin erhobenen Daten umgehend gelöscht und nicht gespeichert.

(Drücken Sie die Leertaste, um fortzufahren)",2,2,0,space,49.767282000000705,None,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,5.4950343999953475,,5.472526199999265,5.4950343999953475,5.4950343999953475,55.27502239999012,space,49.767282000000705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
"Datenschutz und Anonymität

Die Erhebung und Auswertung Ihrer Daten erfolgt am Fachbereich Psychologie der Universität Tübingen und ist vollständig anonym. Ihr Name wird zu keinem Zeitpunkt erfragt oder gespeichert. Niemand wird Ihre Daten mit Ihrer Person in Verbindung bringen können.

Die anonymisierten Experimentaldaten werden nach Abschluss der Erhebung für mindestens 10 Jahre gespeichert und zu Forschungszwecken in einer öffentlichen Datenbank zugänglich gemacht.

(Drücken Sie die Leertaste, um fortzufahren),",3,3,0,space,0.8566417999973055,None,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,55.30483199999435,,55.2751556999865,55.30483199999435,55.30483199999435,56.176260399995954,space,0.8566417999973055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

(Drücken Sie die Leertaste, um fortzufahren)",4,4,0,space,0.4508256999979494,None,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,56.200109400000656,,56.176378399992245,56.200109400000656,56.200109400000656,56.65995489999477,space,0.4508256999979494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.660861500000465,56.67606319999322,56.67606319999322,60.115767899987986,ich stimme zu,3.438933299999917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1158093999984,60.13148179999553,65.12298719999671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,0,0,0,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,wurst,sub,1,9,3666.0,NA,11267,Wer sind die alten Menschen wahrscheinlich?,Großeltern,Eltern,Geschwister,Nachbarn,None,,,,,,,,,,,,,0,0,0,10,,,,,65.39592379999522,,,,,,,,,,,,,,,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,audiovisual,sub,False,65.38939299999038,65.39592379999522,65.62320979998913,65.82415729999775,65.82415729999775,65.8241850666566,75.74306049999723,75.95128769999428,75.74496279998857,[9.34319559999858],75.84304649999831,75.84308469999814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,1,1,0,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,weißt,nosub,1,10,4280.0,NA,11000,Was macht der Mann?,er greift an den Fernseher,er schaltet das Radio ein,er wirft eine Flasche,er öffnet das Fenster,None,,,,,,,,,,,,,0,1,1,6,,,,,75.95128769999428,,,,,,,,,,,,,,,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,visual,sub,False,75.94363899999007,75.95128769999428,76.35212049999973,76.5527168999979,76.5527168999979,76.55249856666002,77.80448479999905,85.79285559999698,85.5849440999882,[6.216284900001483],85.68255040000076,85.68260069999087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,2,2,0,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,hund,sub,0,26,NA,NA,9333,Wie wirkt die Frau?,amüsiert,hasserfüllt,traurig,ängstlich,None,,,,,,,,,,,,,0,2,2,3,,,,,85.79285559999698,,,,,,,,,,,,,,,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,visual,sub,False,85.7850286999892,85.79285559999698,86.19333059999917,86.39314929999819,86.39314929999819,86.39307926665448,87.64483609999297,95.07730710000033,94.85771019999811,[3.2224447000044165],94.9542669999937,94.9543061999866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
