instruction_text,thisN,thisTrialN,thisRepN,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,clip_file,clip_path,sound_path,movie,subtitles,n_cut,clip_num,first_cut,second_cut,clip_duration,attention_check_question,attention_check_correct,attention_check_distractor_1,attention_check_distractor_2,attention_check_distractor_3,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,instruction_trials.thisRepN,instruction_trials.thisTrialN,instruction_trials.thisN,instruction_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,instructions.started,text_instruction.started,key_resp_instruction.started,instructions.stopped,instruction_trials.key_resp_instruction.keys,instruction_trials.key_resp_instruction.rt,instruction_trials.key_resp_instruction.duration,informed_consent.started,slider_informed_consent.started,text_informed_consent.started,informed_consent.stopped,slider_informed_consent.response,slider_informed_consent.rt,begin_practice.started,begin_practice_text.started,begin_practice.stopped,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,practice_clip.started,prac_feedback.started,prac_fixation_cross.started,prac_fixation_cross.stopped,prac_clip.started,prac_sound.started,prac_clip.stopped,practice_clip.stopped,prac_all_cut_rts,practice_attention_check.started,practice_attention_check.stopped,practice_trials.prac_attention_resp.keys,prac_sound.stopped,Practice_correct_key_required,prac_attention_resp.started,prac_question.started,prac_options.started,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,begin_experiment.started,begin_experiment_text.started,begin_experiment.stopped,video_used,audio_used,condition_modality,experiment_clip.started,exp_fixation_cross.started,exp_fixation_cross.stopped,exp_clip.started,exp_sound.started,exp_sound.stopped,exp_clip.stopped,experiment_clip.stopped,all_cut_rts,experiment_attention_check.started,experiment_attention_check.stopped,experiment_trials.exp_atttention_resp.keys,experiment_pause.started,experiment_pause.stopped,experiment_trials.exp_pause_resp.keys,correct_key_required,exp_atttention_resp.started,exp_question.started,exp_options.started,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Herzlich willkommen!

Vielen Dank, dass Sie an unserer Studie teilnehmen. Die Untersuchung wird insgesamt etwa 35 Minuten in Anspruch nehmen.

Bevor wir beginnen, beachten Sie bitte folgende Voraussetzungen für die Teilnahme:
• Sie sind mindestens 18 Jahre alt.
• Ihre Muttersprache ist Deutsch.

(Drücken Sie die Leertaste, um fortzufahren)",0,0,0,space,0.5332444000232499,None,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.031197300006169826,,0.007671400002436712,0.031197300006169826,0.031197300006169826,0.5710053000075277,space,0.5332444000232499,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
"Ablauf der Studie

Ihnen werden in schneller Abfolge viele kurze Filmclips gezeigt.
Ihre Aufgabe ist einfach:

Drücken Sie jedes Mal die Leertaste, wenn Sie einen Filmschnitt (Cut) erkennen.

Zusätzlich werden Ihnen gelegentlich kurze Verständnisfragen zu den gezeigten Clips gestellt.

(Drücken Sie die Leertaste, um fortzufahren),",1,1,0,space,0.19687330001033843,None,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,0.5936724999919534,,0.5711038000008557,0.5936724999919534,0.5936724999919534,0.800859400012996,space,0.19687330001033843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
"Freiwilligkeit Ihrer Teilnahme

Ihre Teilnahme an dieser Studie ist absolut freiwillig. Sie können das Experiment jederzeit und ohne Angabe von Gründen abbrechen, ohne dass Ihnen daraus irgendwelche Nachteile entstehen.

Sollten Sie die Studie vorzeitig beenden, werden Ihre bis dahin erhobenen Daten umgehend gelöscht und nicht gespeichert.

(Drücken Sie die Leertaste, um fortzufahren)",2,2,0,space,0.1371942000114359,None,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,0.8229101999895647,,0.8009690000035334,0.8229101999895647,0.8229101999895647,0.9676951000001281,space,0.1371942000114359,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
"Datenschutz und Anonymität

Die Erhebung und Auswertung Ihrer Daten erfolgt am Fachbereich Psychologie der Universität Tübingen und ist vollständig anonym. Ihr Name wird zu keinem Zeitpunkt erfragt oder gespeichert. Niemand wird Ihre Daten mit Ihrer Person in Verbindung bringen können.

Die anonymisierten Experimentaldaten werden nach Abschluss der Erhebung für mindestens 10 Jahre gespeichert und zu Forschungszwecken in einer öffentlichen Datenbank zugänglich gemacht.

(Drücken Sie die Leertaste, um fortzufahren),",3,3,0,space,0.12380619999021292,None,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,0.9981213000137359,,0.9678331000031903,0.9981213000137359,0.9981213000137359,1.1341816000058316,space,0.12380619999021292,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

(Drücken Sie die Leertaste, um fortzufahren)",4,4,0,space,0.3298869999998715,None,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,1.220132599992212,,1.1343080000078771,1.220132599992212,1.220132599992212,1.5547006000124384,space,0.3298869999998715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.555838100000983,1.571128100011265,1.571128100011265,3.0407952000095975,ich stimme zu,1.4694725000008475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0408291000057943,3.0571657000109553,8.048775800009025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,0,0,0,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,wurst,sub,1,9,3666.0,NA,11267,Wer sind die alten Menschen wahrscheinlich?,Großeltern,Eltern,Geschwister,Nachbarn,None,,,,,,,,,,,0,0,0,10,,,,,8.195008100010455,,,,,,,,,,,,,,,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,audiovisual,sub,False,8.188809499988565,8.195008100010455,8.540298400010215,8.741196799994214,8.741196799994214,8.741823766675468,18.781200800003717,18.544968900008826,[3.0886786000046413],18.661748100013938,18.66178990001208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,1,1,0,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,weißt,sub,1,9,4866.0,NA,9000,Was macht die Frau?,sie wickelt ein Band auf,sie näht,sie strickt,sie faltet Wäsche,4,2.0980492000235245,None,,,,,,,,,0,1,1,5,,,,,18.781200800003717,,,,,,,,,,,,,,,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,visual,nosub,True,18.772857500007376,18.781200800003717,19.164636400004383,19.36482590000378,19.36482590000378,19.365505966652805,31.492807400005404,31.383892100013327,[],31.485312100005103,33.59549850001349,4,20.616494299989427,4,31.492807400005404,31.492807400005404,31.492807400005404,2.0980492000235245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,2,2,0,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,weißt,sub,0,5,NA,NA,9767,Wer trägt die Leiter?,die Frau,der Mann,beide,keiner,3,0.9847680999955628,None,,,,,,,,,0,2,2,0,,,,,33.72097689998918,,,,,,,,,,,,,,,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,audiovisual,nosub,True,33.714185199991334,33.72097689998918,34.09617319999961,34.29816460001166,34.29816460001166,34.296111766660275,45.43095290000201,45.31383470000583,[],45.42466520000016,46.432257600012235,3,45.43095290000201,4,45.43095290000201,45.43095290000201,45.43095290000201,0.9847680999955628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
