instruction_text,thisN,thisTrialN,thisRepN,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,clip_file,clip_path,sound_path,movie,subtitles,n_cut,clip_num,first_cut,second_cut,clip_duration,attention_check_question,attention_check_correct,attention_check_distractor_1,attention_check_distractor_2,attention_check_distractor_3,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trials.thisRepN,instruction_trials.thisTrialN,instruction_trials.thisN,instruction_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,assigned_ls_group,instructions.started,text_instruction.started,key_resp_instruction.started,instructions.stopped,instruction_trials.key_resp_instruction.keys,instruction_trials.key_resp_instruction.rt,instruction_trials.key_resp_instruction.duration,informed_consent.started,slider_informed_consent.started,text_informed_consent.started,informed_consent.stopped,slider_informed_consent.response,slider_informed_consent.rt,begin_practice.started,begin_practice_text.started,begin_practice.stopped,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,practice_clip.started,prac_feedback.started,prac_fixation_cross.started,prac_fixation_cross.stopped,prac_clip.started,prac_sound.started,prac_sound.stopped,prac_clip.stopped,practice_clip.stopped,Practice_all_cut_rts,practice_attention_check.started,practice_attention_check.stopped,practice_trials.prac_attention_resp.keys,Practice_correct_key_required,prac_attention_resp.started,prac_question.started,prac_options.started,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,begin_experiment.started,begin_experiment_text.started,begin_experiment_text.stopped,begin_experiment.stopped,video_used,audio_used,condition_modality,experiment_clip.started,exp_fixation_cross.started,exp_fixation_cross.stopped,exp_clip.started,exp_sound.started,exp_clip.stopped,exp_sound.stopped,experiment_clip.stopped,all_cut_rts,experiment_attention_check.started,experiment_attention_check.stopped,experiment_trials.exp_atttention_resp.keys,experiment_pause.started,experiment_pause.stopped,experiment_trials.exp_pause_resp.keys,correct_key_required,exp_atttention_resp.started,exp_question.started,exp_options.started,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,exp_pause_text.started,exp_pause_resp.started,exp_countdown.started,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Herzlich willkommen!

Vielen Dank, dass Sie an unserer Studie teilnehmen. Die Untersuchung wird insgesamt etwa 35 Minuten in Anspruch nehmen.

Bevor wir beginnen, beachten Sie bitte folgende Voraussetzungen für die Teilnahme:
• Sie sind mindestens 18 Jahre alt.
• Ihre Muttersprache ist Deutsch.

(Drücken Sie die Leertaste, um fortzufahren)",0,0,0,space,0.7461016999732237,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.043359899980714545,,1,0.017378099990310147,0.043359899980714545,0.043359899980714545,0.8035674999991897,space,0.7461016999732237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
"Ablauf der Studie

Ihnen werden in schneller Abfolge viele kurze Filmclips gezeigt.
Ihre Aufgabe ist einfach:

Drücken Sie jedes Mal die Leertaste, wenn Sie einen Filmschnitt (Cut) erkennen.

Zusätzlich werden Ihnen gelegentlich kurze Verständnisfragen zu den gezeigten Clips gestellt.

(Drücken Sie die Leertaste, um fortzufahren),",1,1,0,space,0.17776530000264756,None,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,0.8242571000009775,,,0.8036724999838043,0.8242571000009775,0.8242571000009775,1.0173398999904748,space,0.17776530000264756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
"Freiwilligkeit Ihrer Teilnahme

Ihre Teilnahme an dieser Studie ist absolut freiwillig. Sie können das Experiment jederzeit und ohne Angabe von Gründen abbrechen, ohne dass Ihnen daraus irgendwelche Nachteile entstehen.

Sollten Sie die Studie vorzeitig beenden, werden Ihre bis dahin erhobenen Daten umgehend gelöscht und nicht gespeichert.

(Drücken Sie die Leertaste, um fortzufahren)",2,2,0,space,0.24674670002423227,None,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,1.1022453999903519,,,1.0174638999742456,1.1022453999903519,1.1022453999903519,1.353643499984173,space,0.24674670002423227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
"Datenschutz und Anonymität

Die Erhebung und Auswertung Ihrer Daten erfolgt am Fachbereich Psychologie der Universität Tübingen und ist vollständig anonym. Ihr Name wird zu keinem Zeitpunkt erfragt oder gespeichert. Niemand wird Ihre Daten mit Ihrer Person in Verbindung bringen können.

Die anonymisierten Experimentaldaten werden nach Abschluss der Erhebung für mindestens 10 Jahre gespeichert und zu Forschungszwecken in einer öffentlichen Datenbank zugänglich gemacht.

(Drücken Sie die Leertaste, um fortzufahren),",3,3,0,space,0.43695000000298023,None,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,1.383219499984989,,,1.3537437999912072,1.383219499984989,1.383219499984989,1.8207649999822024,space,0.43695000000298023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

(Drücken Sie die Leertaste, um fortzufahren)",4,4,0,space,0.41894390000379644,None,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,1.8440823999990243,,,1.8208694999921136,1.8440823999990243,1.8440823999990243,2.271844599978067,space,0.41894390000379644,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.273047399998177,2.2881737999850884,2.2881737999850884,3.7409025999950245,ich stimme zu,1.451988299988443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7409468999831006,3.7574676999938674,8.748878099984722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,0,0,0,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,hund,sub,1,25,5466.0,NA,8300,Mit was essen die Personen?,mit ihren Händen,mit Messer und Gabel,mit Stäbchen,mit einem Löffel,None,,,,,,,,,,,,,0,0,0,11,,,,,8.904312599974219,,,,,,,,,,,,,,,,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,visual,sub,False,8.897147399984533,8.904312599974219,9.241438299999572,9.441142199997557,9.441142199997557,9.441587466663139,10.693361899990123,18.116450100002112,17.905308499990497,[3.162406999996165],18.00276419997681,18.002814199979184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,1,1,0,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,weißt,sub,0,5,NA,NA,9767,Wer trägt die Leiter?,die Frau,der Mann,beide,keiner,3,1.5982436999911442,None,,,,,,,,,,,0,1,1,0,,,,,18.116450100002112,,,,,,,,,,,,,,,,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,visual,sub,True,18.108956099982606,18.116450100002112,18.517688799998723,18.716952299990226,18.716952299990226,18.717267266653167,19.97014669998316,28.18976300000213,28.083768599986797,[],28.183124299976043,29.792777800001204,3,3,28.18976300000213,28.18976300000213,28.18976300000213,1.5982436999911442,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,2,2,0,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,hund,sub,1,31,1966.0,NA,8433,Welche Tageszeit ist es?,abends,morgens,mittags,nachts,None,,,,,,,,,,,,,0,2,2,9,,,,,29.932646899978863,,,,,,,,,,,,,,,,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,audiovisual,nosub,False,29.925820399977965,29.932646899978863,30.299745399999665,30.4998087999993,30.4998087999993,30.498974466642053,40.61397710000165,40.61397710000165,40.36994139998569,[],40.471258099976694,40.47128909997991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
