instruction_text;thisN;thisTrialN;thisRepN;prac_attention_resp.keys;prac_attention_resp.rt;prac_attention_resp.duration;exp_atttention_resp.keys;exp_pause_resp.keys;exp_atttention_resp.rt;exp_atttention_resp.duration;exp_pause_resp.rt;exp_pause_resp.duration;instruction_trial.thisRepN;instruction_trial.thisTrialN;instruction_trial.thisN;instruction_trial.thisIndex;practice_trials.thisRepN;practice_trials.thisTrialN;practice_trials.thisN;practice_trials.thisIndex;experiment_trials.thisRepN;experiment_trials.thisTrialN;experiment_trials.thisN;experiment_trials.thisIndex;thisRow.t;notes;piloting;assigned_ls_group;slider_informed_consent.response;Practice_clip_name;Practice_video_used;Practice_audio_used;Practice_modality;Practice_subtitles;Practice_attention_check;Practice_all_cut_rts;practice_trials.prac_attention_resp.keys;Practice_correct_key_required;practice_trials.prac_attention_resp.rt;practice_trials.prac_attention_resp.duration;video_used;audio_used;condition_modality;all_cut_rts;experiment_trials.exp_atttention_resp.keys;experiment_trials.exp_pause_resp.keys;correct_key_required;experiment_trials.exp_atttention_resp.rt;experiment_trials.exp_atttention_resp.duration;experiment_trials.exp_pause_resp.rt;experiment_trials.exp_pause_resp.duration;participant;session;date;expName;expVersion;psychopyVersion;frameRate;expStart
Einverständniserklärung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;0;0;0;None;;;;;;;;;;;;;0;0;0;0;;;;;4.605.997.569.998.720;;;;;clip_wurst_09_sub_1;clips/clip_wurst_09_sub_1.mp4;audios/clip_wurst_09_sub_1.mp3;audiovisual;sub;False;[5.98018219973892];None;;;;;;;;;;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;1;0;1;None;;;;;;;;;;;;;1;0;1;0;;;;;5.772.028.620.028.860;;;;;clip_weißt_09_sub_1;clips/clip_weißt_09_sub_1.mp4;audios/silence.mp3;visual;sub;False;[6.204817400313914];None;;;;;;;;;;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;2;0;2;1;58.670.882.997.103.000;None;;;;;;;;;;;2;0;2;0;;;;;6.766.166.790.015.990;;;;;clip_weißt_21_nosub_0;clips/clip_weißt_21_nosub_0.mp4;audios/silence.mp3;visual;nosub;True;[];1;1;58.670.882.997.103.000;None;;;;;;;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;3;0;3;None;;;;;;;;;;;;;3;0;3;0;;;;;8.472.936.450.038.100;;;;;clip_weißt_05_sub_0;clips/clip_weißt_05_sub_0.mp4;audios/clip_weißt_05_sub_0.mp3;audiovisual;sub;False;[];None;;;;;;;;;;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;4;0;4;None;;;;;;;;;;;;;4;0;4;0;;;;;9.532.003.050.018.100;;;;;clip_weißt_10_nosub_1;clips/clip_weißt_10_nosub_1.mp4;audios/clip_weißt_10_nosub_1.mp3;audiovisual;nosub;False;[5.5906803999096155];None;;;;;;;;;;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;5;0;5;2;14.067.257.199.902.000;None;;;;;;;;;;;5;0;5;0;;;;;10.720.831.960.020.500;;;;;clip_hund_02_sub_1;clips/clip_hund_02_sub_1.mp4;audios/clip_hund_02_sub_1.mp3;audiovisual;sub;True;[9.519748699851334];2;1;14.067.257.199.902.000;None;;;;;;;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;6;0;6;None;;;;;;;;;;;;;6;0;6;0;;;;;13.230.058.490.019.200;;;;;clip_hund_31_sub_0;clips/clip_hund_31_sub_0.mp4;audios/silence.mp3;visual;sub;False;[];None;;;;;;;;;;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;7;0;7;2;3.586.075.899.656.860;None;;;;;;;;;;;7;0;7;0;;;;;14.153.714.310.005.300;;;;;clip_hund_25_sub_1;clips/clip_hund_25_sub_1.mp4;audios/silence.mp3;visual;sub;True;[6.681123099755496];2;2;3.586.075.899.656.860;None;;;;;;;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;8;0;8;None;;;;;;;;;;;;;8;0;8;0;;;;;15.442.821.220.029.100;;;;;clip_hund_06_nosub_0;clips/clip_hund_06_nosub_0.mp4;audios/clip_hund_06_nosub_0.mp3;audiovisual;nosub;False;[];None;;;;;;;;;;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;9;0;9;4;5.049.292.400.013.650;None;;;;;;;;;;;9;0;9;0;;;;;1.661.061.630.002.220;;;;;clip_hund_26_sub_1;clips/clip_hund_26_sub_1.mp4;audios/silence.mp3;visual;sub;True;[];4;4;5.049.292.400.013.650;None;;;;;;;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;10;0;10;None;;;;;;;;;;;;;10;0;10;0;;;;;1.815.273.959.003.380;;;;;clip_weißt_18_nosub_1;clips/clip_weißt_18_nosub_1.mp4;audios/silence.mp3;visual;nosub;False;[6.9388267998583615];None;;;;;;;;;;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;11;0;11;None;;;;;;;;;;;;;11;0;11;0;;;;;19.437.207.920.011.100;;;;;clip_hund_28_nosub_0;clips/clip_hund_28_nosub_0.mp4;audios/clip_hund_28_nosub_0.mp3;audiovisual;nosub;False;[];None;;;;;;;;;;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;0;0;0;;;;None;None;;;;;;;;;;;;;0;0;0;0;20.876.383.770.024.400;;;;;;;;;;;;;;;;clips/clip_lied_12_sub_0.mp4;audios/clip_lied_12_sub_0.mp3;audiovisual;[];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;1;0;1;;;;None;None;;;;;;;;;;;;;1;0;1;0;21.858.354.080.002.700;;;;;;;;;;;;;;;;clips/clip_hund_22_sub_1.mp4;audios/silence.mp3;visual;[8.58506410010159];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;2;0;2;;;;None;None;;;;;;;;;;;;;2;0;2;0;22.951.299.290.033.000;;;;;;;;;;;;;;;;clips/clip_lied_16_sub_2.mp4;audios/silence.mp3;visual;[4.0137951001524925, 6.442451700102538];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;3;0;3;;;;None;None;;;;;;;;;;;;;3;0;3;0;24.103.004.750.004.000;;;;;;;;;;;;;;;;clips/clip_weißt_11_nosub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;4;0;4;;;;1;None;36.544.389.999.471.600;None;;;;;;;;;;;4;0;4;0;25.196.105.730.021.300;;;;;;;;;;;;;;;;clips/clip_claude_27_sub_0.mp4;audios/clip_claude_27_sub_0.mp3;audiovisual;[];1;None;1;36.544.389.999.471.600;None;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;5;0;5;;;;None;None;;;;;;;;;;;;;5;0;5;0;2.685.708.225.001.580;;;;;;;;;;;;;;;;clips/clip_hund_24_nosub_1.mp4;audios/silence.mp3;visual;[8.30911390017718];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;6;0;6;;;;None;None;;;;;;;;;;;;;6;0;6;0;2.814.279.660.000.460;;;;;;;;;;;;;;;;clips/clip_hund_05_sub_0.mp4;audios/silence.mp3;visual;[4.1224968996830285];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;7;0;7;;;;None;None;;;;;;;;;;;;;7;0;7;0;293.284.572.200.384;;;;;;;;;;;;;;;;clips/clip_lied_01_nosub_1.mp4;audios/silence.mp3;visual;[4.804320099763572];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;8;0;8;;;;None;None;;;;;;;;;;;;;8;0;8;0;3.042.391.386.004.160;;;;;;;;;;;;;;;;clips/clip_wurst_31_nosub_1.mp4;audios/clip_wurst_31_nosub_1.mp3;audiovisual;[];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;9;0;9;;;;None;None;;;;;;;;;;;;;9;0;9;0;3.161.348.956.003.780;;;;;;;;;;;;;;;;clips/clip_weißt_02_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;10;0;10;;;;4;None;56.954.912.999.644.800;None;;;;;;;;;;;10;0;10;0;32.705.044.460.017.200;;;;;;;;;;;;;;;;clips/clip_holo_11_sub_2.mp4;audios/silence.mp3;visual;[5.679102100431919, 9.22595710027963];4;None;4;56.954.912.999.644.800;None;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;11;0;11;;;;None;None;;;;;;;;;;;;;11;0;11;0;34.333.932.780.008.700;;;;;;;;;;;;;;;;clips/clip_lied_08_sub_1.mp4;audios/clip_lied_08_sub_1.mp3;audiovisual;[7.4897248996421695];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;12;0;12;;;;None;None;;;;;;;;;;;;;12;0;12;0;35.316.964.290.011.600;;;;;;;;;;;;;;;;clips/clip_claude_08_nosub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;13;0;13;;;;None;None;;;;;;;;;;;;;13;0;13;0;3.637.541.625.001.460;;;;;;;;;;;;;;;;clips/clip_hund_13_nosub_1.mp4;audios/clip_hund_13_nosub_1.mp3;audiovisual;[5.964497799985111];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;14;0;14;;;;None;None;;;;;;;;;;;;;14;0;14;0;37.681.574.250.012.600;;;;;;;;;;;;;;;;clips/clip_hund_16_nosub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;15;0;15;;;;None;None;;;;;;;;;;;;;15;0;15;0;38.805.619.500.018.600;;;;;;;;;;;;;;;;clips/clip_wurst_34_nosub_2.mp4;audios/silence.mp3;visual;[4.1906543001532555, 6.092000000178814];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;16;0;16;;;;None;None;;;;;;;;;;;;;16;0;16;0;39.740.535.890.031.600;;;;;;;;;;;;;;;;clips/clip_weißt_19_sub_1.mp4;audios/clip_weißt_19_sub_1.mp3;audiovisual;[];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;17;0;17;;;;None;None;;;;;;;;;;;;;17;0;17;0;4.082.945.742.001.750;;;;;;;;;;;;;;;;clips/clip_herz_16_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;18;0;18;;;;None;None;;;;;;;;;;;;;18;0;18;0;4.182.451.486.000.790;;;;;;;;;;;;;;;;clips/clip_hund_34_nosub_1.mp4;audios/clip_hund_34_nosub_1.mp3;audiovisual;[];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;19;0;19;;;;None;None;;;;;;;;;;;;;19;0;19;0;42.965.797.790.000.200;;;;;;;;;;;;;;;;clips/clip_wurst_29_sub_1.mp4;audios/clip_wurst_29_sub_1.mp3;audiovisual;[];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;20;0;20;;;;None;None;;;;;;;;;;;;;20;0;20;0;44.253.215.840.039.700;;;;;;;;;;;;;;;;clips/clip_claude_06_sub_1.mp4;audios/silence.mp3;visual;[4.228139500133693];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;21;0;21;;;;None;None;;;;;;;;;;;;;21;0;21;0;45.600.607.200.013.400;;;;;;;;;;;;;;;;clips/clip_herz_05_sub_0.mp4;audios/clip_herz_05_sub_0.mp3;audiovisual;[6.042014199774712, 7.264541300013661];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;22;0;22;;;;None;None;;;;;;;;;;;;;22;0;22;0;46.724.792.790.040.300;;;;;;;;;;;;;;;;clips/clip_lied_06_nosub_1.mp4;audios/clip_lied_06_nosub_1.mp3;audiovisual;[];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
