instruction_text;thisN;thisTrialN;thisRepN;prac_attention_resp.keys;prac_attention_resp.rt;prac_attention_resp.duration;exp_atttention_resp.keys;exp_pause_resp.keys;exp_atttention_resp.rt;exp_atttention_resp.duration;exp_pause_resp.rt;exp_pause_resp.duration;instruction_trial.thisRepN;instruction_trial.thisTrialN;instruction_trial.thisN;instruction_trial.thisIndex;practice_trials.thisRepN;practice_trials.thisTrialN;practice_trials.thisN;practice_trials.thisIndex;experiment_trials.thisRepN;experiment_trials.thisTrialN;experiment_trials.thisN;experiment_trials.thisIndex;thisRow.t;notes;piloting;assigned_ls_group;slider_informed_consent.response;Practice_clip_name;Practice_video_used;Practice_audio_used;Practice_modality;Practice_subtitles;Practice_attention_check;Practice_all_cut_rts;Practice_correct_key_required;practice_trials.prac_attention_resp.keys;practice_trials.prac_attention_resp.rt;practice_trials.prac_attention_resp.duration;video_used;audio_used;condition_modality;all_cut_rts;experiment_trials.exp_atttention_resp.keys;experiment_trials.exp_pause_resp.keys;correct_key_required;experiment_trials.exp_atttention_resp.rt;experiment_trials.exp_atttention_resp.duration;experiment_trials.exp_pause_resp.rt;experiment_trials.exp_pause_resp.duration;participant;session;date;expName;expVersion;psychopyVersion;frameRate;expStart
Einverständniserklärung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;0;0;0;4;987.814.119.970.426;None;;;;;;;;;;;0;0;0;0;;;;;6.534.126.739.995.550;;;;;clip_weißt_05_sub_0;clips/clip_weißt_05_sub_0.mp4;audios/clip_weißt_05_sub_0.mp3;audiovisual;sub;True;[];4;4;987.814.119.970.426;None;;;;;;;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;1;0;1;None;;;;;;;;;;;;;1;0;1;0;;;;;8.538.587.780.017.400;;;;;clip_weißt_10_nosub_1;clips/clip_weißt_10_nosub_1.mp4;audios/clip_weißt_10_nosub_1.mp3;audiovisual;nosub;False;[];;None;;;;;;;;;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;2;0;2;None;;;;;;;;;;;;;2;0;2;0;;;;;9.722.216.060.012.570;;;;;clip_weißt_21_nosub_0;clips/clip_weißt_21_nosub_0.mp4;audios/silence.mp3;visual;nosub;False;[1.5944369998760521];;None;;;;;;;;;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;3;0;3;None;;;;;;;;;;;;;3;0;3;0;;;;;10.817.186.499.992.300;;;;;clip_hund_28_nosub_0;clips/clip_hund_28_nosub_0.mp4;audios/clip_hund_28_nosub_0.mp3;audiovisual;nosub;False;[];;None;;;;;;;;;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;4;0;4;None;;;;;;;;;;;;;4;0;4;0;;;;;11.883.907.559.979.700;;;;;clip_weißt_09_sub_1;clips/clip_weißt_09_sub_1.mp4;audios/silence.mp3;visual;sub;False;[];;None;;;;;;;;;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;5;0;5;1;505.574.919.981.882;None;;;;;;;;;;;5;0;5;0;;;;;12.867.691.780.021.400;;;;;clip_hund_25_sub_1;clips/clip_hund_25_sub_1.mp4;audios/silence.mp3;visual;sub;True;[];1;1;505.574.919.981.882;None;;;;;;;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;6;0;6;2;3.645.414.900.034.660;None;;;;;;;;;;;6;0;6;0;;;;;14.297.965.710.004.700;;;;;clip_hund_02_sub_1;clips/clip_hund_02_sub_1.mp4;audios/clip_hund_02_sub_1.mp3;audiovisual;sub;True;[];2;2;3.645.414.900.034.660;None;;;;;;;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;7;0;7;None;;;;;;;;;;;;;7;0;7;0;;;;;15.738.640.940.003.000;;;;;clip_hund_26_sub_1;clips/clip_hund_26_sub_1.mp4;audios/silence.mp3;visual;sub;False;[];;None;;;;;;;;;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
