instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,piloting,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,practice_trials.prac_attention_resp.keys,Practice_correct_key_required,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

(Drücken Sie die Leertaste, um fortzufahren)",4,4,0,,,,,,,,,,0,4,4,4,,,,,,,,,27.869163800030947,,False,2,ich stimme zu,,,,,,,,,,,,,,,,,,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,0,0,0,None,,,,,,,,,,,,,0,0,0,0,,,,,73.99453529994935,,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,visual,nosub,False,[],None,,,,,,,,,,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,1,0,1,3,9.450548899825662,None,,,,,,,,,,,1,0,1,0,,,,,86.3907746002078,,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,audiovisual,sub,True,[9.326869099866599],3,4,9.450548899825662,None,,,,,,,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,2,0,2,None,,,,,,,,,,,,,2,0,2,0,,,,,106.74772250000387,,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,audiovisual,nosub,False,[5.407465100288391],None,,,,,,,,,,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,3,0,3,None,,,,,,,,,,,,,3,0,3,0,,,,,118.55892300000414,,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,audiovisual,nosub,False,[],None,,,,,,,,,,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,4,0,4,None,,,,,,,,,,,,,4,0,4,0,,,,,130.31938020000234,,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,audiovisual,sub,False,[5.033232399728149],None,,,,,,,,,,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,5,0,5,None,,,,,,,,,,,,,5,0,5,0,,,,,142.47732939990237,,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,visual,sub,False,[],None,,,,,,,,,,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,6,0,6,1,6.001290699932724,None,,,,,,,,,,,6,0,6,0,,,,,151.88809859985486,,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,visual,nosub,True,[],1,1,6.001290699932724,None,,,,,,,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,7,0,7,2,4.6889522997662425,None,,,,,,,,,,,7,0,7,0,,,,,169.03232150012627,,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,audiovisual,nosub,True,[],2,2,4.6889522997662425,None,,,,,,,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
