instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,piloting,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,Practice_correct_key_required,practice_trials.prac_attention_resp.keys,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

(Drücken Sie die Leertaste, um fortzufahren)",4,4,0,,,,,,,,,,0,4,4,4,,,,,,,,,50.799595000222325,,False,0,ich stimme zu,,,,,,,,,,,,,,,,,,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,0,0,0,1,4.918132199905813,None,,,,,,,,,,,0,0,0,0,,,,,59.62567739980295,,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,audiovisual,sub,True,[],3,1,4.918132199905813,None,,,,,,,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,1,0,1,None,,,,,,,,,,,,,1,0,1,0,,,,,74.75836650002748,,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,visual,sub,False,[],,None,,,,,,,,,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,2,0,2,None,,,,,,,,,,,,,2,0,2,0,,,,,84.02588720014319,,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,visual,sub,False,[1.4807417001575232],,None,,,,,,,,,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,3,0,3,None,,,,,,,,,,,,,3,0,3,0,,,,,94.25388249987736,,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,audiovisual,nosub,False,[],,None,,,,,,,,,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,4,0,4,1,11.980939799919724,None,,,,,,,,,,,4,0,4,0,,,,,104.90793510014191,,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,visual,nosub,True,[8.804608599748462],2,1,11.980939799919724,None,,,,,,,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,5,0,5,None,,,,,,,,,,,,,5,0,5,0,,,,,129.86367919994518,,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,audiovisual,nosub,False,[],,None,,,,,,,,,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,6,0,6,None,,,,,,,,,,,,,6,0,6,0,,,,,141.47343769995496,,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,visual,sub,False,[6.545491700060666],,None,,,,,,,,,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,7,0,7,None,,,,,,,,,,,,,7,0,7,0,,,,,151.3342158999294,,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,audiovisual,sub,False,[5.349090800154954],,None,,,,,,,,,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
