instruction_text;thisN;thisTrialN;thisRepN;prac_attention_resp.keys;prac_attention_resp.rt;prac_attention_resp.duration;exp_atttention_resp.keys;exp_pause_resp.keys;exp_atttention_resp.rt;exp_atttention_resp.duration;exp_pause_resp.rt;exp_pause_resp.duration;instruction_trial.thisRepN;instruction_trial.thisTrialN;instruction_trial.thisN;instruction_trial.thisIndex;practice_trials.thisRepN;practice_trials.thisTrialN;practice_trials.thisN;practice_trials.thisIndex;experiment_trials.thisRepN;experiment_trials.thisTrialN;experiment_trials.thisN;experiment_trials.thisIndex;thisRow.t;notes;piloting;assigned_ls_group;slider_informed_consent.response;Practice_clip_name;Practice_video_used;Practice_audio_used;Practice_modality;Practice_subtitles;Practice_attention_check;Practice_all_cut_rts;practice_trials.prac_attention_resp.keys;Practice_correct_key_required;practice_trials.prac_attention_resp.rt;practice_trials.prac_attention_resp.duration;video_used;audio_used;condition_modality;all_cut_rts;experiment_trials.exp_atttention_resp.keys;experiment_trials.exp_pause_resp.keys;correct_key_required;experiment_trials.exp_atttention_resp.rt;experiment_trials.exp_atttention_resp.duration;experiment_trials.exp_pause_resp.rt;experiment_trials.exp_pause_resp.duration;participant;session;date;expName;expVersion;psychopyVersion;frameRate;expStart
Einverständniserklärung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;0;0;0;None;;;;;;;;;;;;;0;0;0;0;;;;;12.466.042.750.002.800;;;;;clip_weißt_05_sub_0;clips/clip_weißt_05_sub_0.mp4;audios/clip_weißt_05_sub_0.mp3;audiovisual;sub;False;[];None;;;;;;;;;;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;1;0;1;None;;;;;;;;;;;;;1;0;1;0;;;;;13.508.266.209.997.200;;;;;clip_weißt_09_sub_1;clips/clip_weißt_09_sub_1.mp4;audios/silence.mp3;visual;sub;False;[0.6079337997362018, 8.71469740010798];None;;;;;;;;;;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;2;0;2;2;4.530.656.000.133.600;None;;;;;;;;;;;2;0;2;0;;;;;1.449.335.534.996.350;;;;;clip_weißt_21_nosub_0;clips/clip_weißt_21_nosub_0.mp4;audios/silence.mp3;visual;nosub;True;[];2;2;4.530.656.000.133.600;None;;;;;;;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;3;0;3;None;;;;;;;;;;;;;3;0;3;0;;;;;1.605.225.054.998.880;;;;;clip_wurst_09_sub_1;clips/clip_wurst_09_sub_1.mp4;audios/clip_wurst_09_sub_1.mp3;audiovisual;sub;False;[5.386884400155395];None;;;;;;;;;;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;4;0;4;4;5.205.095.699.988.300;None;;;;;;;;;;;4;0;4;0;;;;;17.257.342.449.994.700;;;;;clip_hund_31_sub_0;clips/clip_hund_31_sub_0.mp4;audios/silence.mp3;visual;sub;True;[3.9572444995865226];4;4;5.205.095.699.988.300;None;;;;;;;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;5;0;5;3;6.633.019.899.949.430;None;;;;;;;;;;;5;0;5;0;;;;;18.713.264.859.979.900;;;;;clip_hund_06_nosub_0;clips/clip_hund_06_nosub_0.mp4;audios/clip_hund_06_nosub_0.mp3;audiovisual;nosub;True;[];3;4;6.633.019.899.949.430;None;;;;;;;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;6;0;6;None;;;;;;;;;;;;;6;0;6;0;;;;;20.547.027.499.973.700;;;;;clip_weißt_18_nosub_1;clips/clip_weißt_18_nosub_1.mp4;audios/silence.mp3;visual;nosub;False;[6.8733926001004875];None;;;;;;;;;;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;7;0;7;None;;;;;;;;;;;;;7;0;7;0;;;;;2.187.232.015.999.030;;;;;clip_hund_25_sub_1;clips/clip_hund_25_sub_1.mp4;audios/silence.mp3;visual;sub;False;[6.519233499653637];None;;;;;;;;;;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;8;0;8;None;;;;;;;;;;;;;8;0;8;0;;;;;22.769.463.739.963.200;;;;;clip_hund_28_nosub_0;clips/clip_hund_28_nosub_0.mp4;audios/clip_hund_28_nosub_0.mp3;audiovisual;nosub;False;[];None;;;;;;;;;;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;9;0;9;None;;;;;;;;;;;;;9;0;9;0;;;;;23.837.309.779.971.800;;;;;clip_hund_02_sub_1;clips/clip_hund_02_sub_1.mp4;audios/clip_hund_02_sub_1.mp3;audiovisual;sub;False;[9.568317499943078];None;;;;;;;;;;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
