instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,practice_trials.prac_attention_resp.keys,Practice_correct_key_required,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

(Drücken Sie die Leertaste, um fortzufahren)",4,4,0,,,,,,,,,,0,4,4,4,,,,,,,,,22.775255375003326,,0,ich stimme zu,,,,,,,,,,,,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,0,0,0,None,,,,,,,,,,,,,0,0,0,0,,,,,38.12943549999909,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,visual,sub,False,[],None,,,,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,1,0,1,None,,,,,,,,,,,,,1,0,1,0,,,,,47.32133849999809,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,audiovisual,nosub,False,[],None,,,,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,2,0,2,1,13.760217540999292,None,,,,,,,,,,,2,0,2,0,,,,,59.11335187499935,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,visual,sub,True,[0.349426916000084],1,4,13.760217540999292,None,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,3,0,3,None,,,,,,,,,,,,,3,0,3,0,,,,,82.01695733400265,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,visual,nosub,False,[6.977069999993546],None,,,,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,4,0,4,None,,,,,,,,,,,,,4,0,4,0,,,,,94.81698687499738,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,audiovisual,sub,False,[],None,,,,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,5,0,5,None,,,,,,,,,,,,,5,0,5,0,,,,,105.37948704200244,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,audiovisual,sub,False,[4.786754624998139],None,,,,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,6,0,6,None,,,,,,,,,,,,,6,0,6,0,,,,,117.44200120899768,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,audiovisual,nosub,False,[10.474303208000492],None,,,,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,7,0,7,4,5.65185433300212,None,,,,,,,,,,,7,0,7,0,,,,,129.09248258399748,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,audiovisual,sub,True,"[9.844330125000852, 9.996500875000493]",4,3,5.65185433300212,None,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,8,0,8,2,7.6429061660019215,None,,,,,,,,,,,8,0,8,0,,,,,145.46896350000316,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,audiovisual,nosub,True,[],2,2,7.6429061660019215,None,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,9,0,9,None,,,,,,,,,,,,,9,0,9,0,,,,,163.74584312499792,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,visual,sub,False,[],None,,,,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,10,0,10,1,4.68968437500007,None,,,,,,,,,,,10,0,10,0,,,,,172.95430629199836,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,visual,sub,True,[],1,1,4.68968437500007,None,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,11,0,11,None,,,,,,,,,,,,,11,0,11,0,,,,,187.81207500000164,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,visual,nosub,False,[],None,,,,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,0,0,0,,,,None,None,,,,,,,,,,,,,0,0,0,0,207.02998254200065,,,,,,,,,,,,,,,clips/clip_lied_06_nosub_1.mp4,audios/silence.mp3,visual,[],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,1,0,1,,,,None,None,,,,,,,,,,,,,1,0,1,0,220.39399299999786,,,,,,,,,,,,,,,clips/clip_hund_17_nosub_1.mp4,audios/silence.mp3,visual,[10.11187674899702],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,2,0,2,,,,None,None,,,,,,,,,,,,,2,0,2,0,233.45858095899894,,,,,,,,,,,,,,,clips/clip_lied_21_sub_2.mp4,audios/silence.mp3,visual,"[5.190148125002452, 11.339007333001064]",None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
