instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,Practice_correct_key_required,practice_trials.prac_attention_resp.keys,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

(Drücken Sie die Leertaste, um fortzufahren)",4,4,0,,,,,,,,,,0,4,4,4,,,,,,,,,29.219600250013173,,2,ich stimme zu,,,,,,,,,,,,,,,,,,,,,,,115,A,2026-04-04_15h01.12.932,exp_sofc_final,,2025.2.3,None,2026-04-04 15h01.13.856147 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,A,2026-04-04_15h01.12.932,exp_sofc_final,,2025.2.3,None,2026-04-04 15h01.13.856147 +0200,
,0,0,0,3,12.42616991698742,None,,,,,,,,,,,0,0,0,0,,,,,54.217981166992104,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,audiovisual,sub,True,[],4,3,12.42616991698742,None,,,,,,,,,,,,115,A,2026-04-04_15h01.12.932,exp_sofc_final,,2025.2.3,None,2026-04-04 15h01.13.856147 +0200,
,1,0,1,2,6.045262999978149,None,,,,,,,,,,,1,0,1,0,,,,,76.78955812499044,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,audiovisual,nosub,True,[5.67004020800232],2,2,6.045262999978149,None,,,,,,,,,,,,115,A,2026-04-04_15h01.12.932,exp_sofc_final,,2025.2.3,None,2026-04-04 15h01.13.856147 +0200,
,2,0,2,None,,,,,,,,,,,,,2,0,2,0,,,,,94.64431612499175,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,visual,sub,False,[],,None,,,,,,,,,,,,,,115,A,2026-04-04_15h01.12.932,exp_sofc_final,,2025.2.3,None,2026-04-04 15h01.13.856147 +0200,
,3,0,3,None,,,,,,,,,,,,,3,0,3,0,,,,,103.84281804200145,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,visual,sub,False,[],,None,,,,,,,,,,,,,,115,A,2026-04-04_15h01.12.932,exp_sofc_final,,2025.2.3,None,2026-04-04 15h01.13.856147 +0200,
,4,0,4,None,,,,,,,,,,,,,4,0,4,0,,,,,113.66705095799989,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,audiovisual,nosub,False,[],,None,,,,,,,,,,,,,,115,A,2026-04-04_15h01.12.932,exp_sofc_final,,2025.2.3,None,2026-04-04 15h01.13.856147 +0200,
,5,0,5,None,,,,,,,,,,,,,5,0,5,0,,,,,124.2968842079863,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,visual,sub,False,"[0.5886876240256242, 6.853488749009557]",,None,,,,,,,,,,,,,,115,A,2026-04-04_15h01.12.932,exp_sofc_final,,2025.2.3,None,2026-04-04 15h01.13.856147 +0200,
,6,0,6,None,,,,,,,,,,,,,6,0,6,0,,,,,133.3936274999869,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,visual,nosub,False,[],,None,,,,,,,,,,,,,,115,A,2026-04-04_15h01.12.932,exp_sofc_final,,2025.2.3,None,2026-04-04 15h01.13.856147 +0200,
,7,0,7,None,,,,,,,,,,,,,7,0,7,0,,,,,144.31966445798753,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,audiovisual,sub,False,[0.5215514989977237],,None,,,,,,,,,,,,,,115,A,2026-04-04_15h01.12.932,exp_sofc_final,,2025.2.3,None,2026-04-04 15h01.13.856147 +0200,
