instruction_text;thisN;thisTrialN;thisRepN;prac_attention_resp.keys;prac_attention_resp.rt;prac_attention_resp.duration;exp_atttention_resp.keys;exp_pause_resp.keys;exp_atttention_resp.rt;exp_atttention_resp.duration;exp_pause_resp.rt;exp_pause_resp.duration;instruction_trial.thisRepN;instruction_trial.thisTrialN;instruction_trial.thisN;instruction_trial.thisIndex;practice_trials.thisRepN;practice_trials.thisTrialN;practice_trials.thisN;practice_trials.thisIndex;experiment_trials.thisRepN;experiment_trials.thisTrialN;experiment_trials.thisN;experiment_trials.thisIndex;thisRow.t;notes;piloting;assigned_ls_group;slider_informed_consent.response;Practice_clip_name;Practice_video_used;Practice_audio_used;Practice_modality;Practice_subtitles;Practice_attention_check;Practice_all_cut_rts;practice_trials.prac_attention_resp.keys;Practice_correct_key_required;practice_trials.prac_attention_resp.rt;practice_trials.prac_attention_resp.duration;video_used;audio_used;condition_modality;all_cut_rts;experiment_trials.exp_atttention_resp.keys;experiment_trials.exp_pause_resp.keys;correct_key_required;experiment_trials.exp_atttention_resp.rt;experiment_trials.exp_atttention_resp.duration;experiment_trials.exp_pause_resp.rt;experiment_trials.exp_pause_resp.duration;participant;session;date;expName;expVersion;psychopyVersion;frameRate;expStart
Einverständniserklärung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;0;0;0;None;;;;;;;;;;;;;0;0;0;0;;;;;10.511.968.149.989.800;;;;;clip_hund_26_sub_1;clips/clip_hund_26_sub_1.mp4;audios/silence.mp3;visual;sub;False;[];None;;;;;;;;;;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;1;0;1;None;;;;;;;;;;;;;1;0;1;0;;;;;11.483.899.369.975.500;;;;;clip_weißt_21_nosub_0;clips/clip_weißt_21_nosub_0.mp4;audios/silence.mp3;visual;nosub;False;[];None;;;;;;;;;;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;2;0;2;None;;;;;;;;;;;;;2;0;2;0;;;;;12.574.854.469.997.800;;;;;clip_hund_31_sub_0;clips/clip_hund_31_sub_0.mp4;audios/silence.mp3;visual;sub;False;[];None;;;;;;;;;;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;3;0;3;None;;;;;;;;;;;;;3;0;3;0;;;;;13.508.660.059.981.000;;;;;clip_hund_02_sub_1;clips/clip_hund_02_sub_1.mp4;audios/clip_hund_02_sub_1.mp3;audiovisual;sub;False;[0.5029984000138938, 9.378029100131243];None;;;;;;;;;;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;4;0;4;None;;;;;;;;;;;;;4;0;4;0;;;;;14.585.935.679.962.800;;;;;clip_hund_25_sub_1;clips/clip_hund_25_sub_1.mp4;audios/silence.mp3;visual;sub;False;[6.667105000000447];None;;;;;;;;;;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;5;0;5;None;;;;;;;;;;;;;5;0;5;0;;;;;15.511.430.529.970.600;;;;;clip_hund_28_nosub_0;clips/clip_hund_28_nosub_0.mp4;audios/clip_hund_28_nosub_0.mp3;audiovisual;nosub;False;[];None;;;;;;;;;;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;6;0;6;None;;;;;;;;;;;;;6;0;6;0;;;;;16.588.839.019.974.600;;;;;clip_weißt_09_sub_1;clips/clip_weißt_09_sub_1.mp4;audios/silence.mp3;visual;sub;False;[0.2673690002411604, 6.326063100248575];None;;;;;;;;;;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;7;0;7;None;;;;;;;;;;;;;7;0;7;0;;;;;17.571.859.099.995.300;;;;;clip_weißt_18_nosub_1;clips/clip_weißt_18_nosub_1.mp4;audios/silence.mp3;visual;nosub;False;[6.693073499947786];None;;;;;;;;;;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;8;0;8;4;8.870.538.600.254.800;None;;;;;;;;;;;8;0;8;0;;;;;1.885.788.407.996.290;;;;;clip_weißt_10_nosub_1;clips/clip_weißt_10_nosub_1.mp4;audios/clip_weißt_10_nosub_1.mp3;audiovisual;nosub;True;[0.44517969992011786, 5.350442099850625];4;4;8.870.538.600.254.800;None;;;;;;;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;9;0;9;2;10.791.523.800.231.500;None;;;;;;;;;;;9;0;9;0;;;;;2.095.355.155.998.840;;;;;clip_hund_06_nosub_0;clips/clip_hund_06_nosub_0.mp4;audios/clip_hund_06_nosub_0.mp3;audiovisual;nosub;True;[];2;2;10.791.523.800.231.500;None;;;;;;;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;10;0;10;4;5.281.312.299.892.300;None;;;;;;;;;;;10;0;10;0;;;;;23.213.990.719.988.900;;;;;clip_weißt_05_sub_0;clips/clip_weißt_05_sub_0.mp4;audios/clip_weißt_05_sub_0.mp3;audiovisual;sub;True;[];4;4;5.281.312.299.892.300;None;;;;;;;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;11;0;11;1;59.093.181.998.468.900;None;;;;;;;;;;;11;0;11;0;;;;;248.069.649.099.838;;;;;clip_wurst_09_sub_1;clips/clip_wurst_09_sub_1.mp4;audios/clip_wurst_09_sub_1.mp3;audiovisual;sub;True;[];1;4;59.093.181.998.468.900;None;;;;;;;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;0;0;0;;;;None;None;;;;;;;;;;;;;0;0;0;0;33.058.425.039.984.200;;;;;;;;;;;;;;;;clips/clip_lied_09_sub_1.mp4;audios/clip_lied_09_sub_1.mp3;audiovisual;[];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;1;0;1;;;;None;None;;;;;;;;;;;;;1;0;1;0;34.188.239.729.963.200;;;;;;;;;;;;;;;;clips/clip_holo_03_nosub_1.mp4;audios/clip_holo_03_nosub_1.mp3;audiovisual;[7.387201800011098];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;2;0;2;;;;None;None;;;;;;;;;;;;;2;0;2;0;35.224.248.009.966.600;;;;;;;;;;;;;;;;clips/clip_lied_05_sub_0.mp4;audios/clip_lied_05_sub_0.mp3;audiovisual;[];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;3;0;3;;;;None;None;;;;;;;;;;;;;3;0;3;0;3.624.728.872.999.540;;;;;;;;;;;;;;;;clips/clip_claude_03_sub_1.mp4;audios/silence.mp3;visual;[5.356264399830252];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;4;0;4;;;;3;None;4.590.237.400.028.850;None;;;;;;;;;;;4;0;4;0;3.748.434.833.995.990;;;;;;;;;;;;;;;;clips/clip_weißt_12_nosub_1.mp4;audios/silence.mp3;visual;[8.94579330040142];3;None;3;4.590.237.400.028.850;None;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;5;0;5;;;;None;None;;;;;;;;;;;;;5;0;5;0;39.234.373.639.989.600;;;;;;;;;;;;;;;;clips/clip_herz_12_nosub_0.mp4;audios/clip_herz_12_nosub_0.mp3;audiovisual;[5.789154400117695];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;6;0;6;;;;None;None;;;;;;;;;;;;;6;0;6;0;402.222.280.099.988;;;;;;;;;;;;;;;;clips/clip_lied_15_nosub_2.mp4;audios/silence.mp3;visual;[3.197228299919516];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;7;0;7;;;;3;None;4.770.803.099.963.810;None;;;;;;;;;;;7;0;7;0;4.105.222.826.995.880;;;;;;;;;;;;;;;;clips/clip_holo_16_sub_1.mp4;audios/silence.mp3;visual;[10.243407799862325];3;None;4;4.770.803.099.963.810;None;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;8;0;8;;;;None;None;;;;;;;;;;;;;8;0;8;0;4.280.975.241.996.340;;;;;;;;;;;;;;;;clips/clip_wurst_04_sub_2.mp4;audios/silence.mp3;visual;[4.056430199649185, 7.233846299815923];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;9;0;9;;;;None;None;;;;;;;;;;;;;9;0;9;0;4.405.312.264.999.370;;;;;;;;;;;;;;;;clips/clip_dampf_04_sub_1.mp4;audios/clip_dampf_04_sub_1.mp3;audiovisual;[4.963226600084454];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;10;0;10;;;;None;None;;;;;;;;;;;;;10;0;10;0;4.510.298.742.996.520;;;;;;;;;;;;;;;;clips/clip_wurst_01_nosub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;11;0;11;;;;None;None;;;;;;;;;;;;;11;0;11;0;46.215.771.029.982.700;;;;;;;;;;;;;;;;clips/clip_weißt_26_sub_1.mp4;audios/clip_weißt_26_sub_1.mp3;audiovisual;[7.2949810000136495];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;12;0;12;;;;None;None;;;;;;;;;;;;;12;0;12;0;47.312.361.539.993.400;;;;;;;;;;;;;;;;clips/clip_herz_10_sub_0.mp4;audios/clip_herz_10_sub_0.mp3;audiovisual;[];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;13;0;13;;;;None;None;;;;;;;;;;;;;13;0;13;0;48.393.435.060.000.000;;;;;;;;;;;;;;;;clips/clip_holo_17_sub_0.mp4;audios/clip_holo_17_sub_0.mp3;audiovisual;[0.3452353999018669];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;14;0;14;;;;None;None;;;;;;;;;;;;;14;0;14;0;49.473.972.209.962.000;;;;;;;;;;;;;;;;clips/clip_hund_20_sub_0.mp4;audios/clip_hund_20_sub_0.mp3;audiovisual;[];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;15;0;15;;;;None;None;;;;;;;;;;;;;15;0;15;0;5.070.812.881.998.710;;;;;;;;;;;;;;;;clips/clip_hund_01_sub_0.mp4;audios/silence.mp3;visual;[0.18254399998113513];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;16;0;16;;;;None;None;;;;;;;;;;;;;16;0;16;0;5.186.999.977.999.360;;;;;;;;;;;;;;;;clips/clip_claude_26_nosub_0.mp4;audios/clip_claude_26_nosub_0.mp3;audiovisual;[4.362123999744654];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;17;0;17;;;;None;None;;;;;;;;;;;;;17;0;17;0;5.304.488.861.998.540;;;;;;;;;;;;;;;;clips/clip_wurst_19_nosub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;18;0;18;;;;None;None;;;;;;;;;;;;;18;0;18;0;5.423.373.698.997.310;;;;;;;;;;;;;;;;clips/clip_herz_01_sub_1.mp4;audios/silence.mp3;visual;[6.312360300216824];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;19;0;19;;;;None;None;;;;;;;;;;;;;19;0;19;0;5.538.130.475.999.780;;;;;;;;;;;;;;;;clips/clip_holo_20_sub_1.mp4;audios/silence.mp3;visual;[1.6124249999411404];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;20;0;20;;;;None;None;;;;;;;;;;;;;20;0;20;0;5.642.321.054.995.990;;;;;;;;;;;;;;;;clips/clip_holo_13_sub_1.mp4;audios/clip_holo_13_sub_1.mp3;audiovisual;[4.205029900185764];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;21;0;21;;;;None;None;;;;;;;;;;;;;21;0;21;0;5.769.574.918.998.400;;;;;;;;;;;;;;;;clips/clip_claude_07_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;22;0;22;;;;None;None;;;;;;;;;;;;;22;0;22;0;5.880.449.498.998.930;;;;;;;;;;;;;;;;clips/clip_wurst_28_nosub_1.mp4;audios/clip_wurst_28_nosub_1.mp3;audiovisual;[];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;23;0;23;;;;None;None;;;;;;;;;;;;;23;0;23;0;5.990.899.532.996.110;;;;;;;;;;;;;;;;clips/clip_holo_06_nosub_2.mp4;audios/silence.mp3;visual;[5.148117399774492, 9.228468099609017, 9.421423899941146];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;24;0;24;;;;None;None;;;;;;;;;;;;;24;0;24;0;6.097.260.554.996.310;;;;;;;;;;;;;;;;clips/clip_hund_12_sub_1.mp4;audios/clip_hund_12_sub_1.mp3;audiovisual;[9.91460739960894];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;25;0;25;;;;None;None;;;;;;;;;;;;;25;0;25;0;6.217.832.112.996.830;;;;;;;;;;;;;;;;clips/clip_claude_27_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;26;0;26;;;;3;None;4.981.360.100.209.710;None;;;;;;;;;;;26;0;26;0;6.346.987.305.996.000;;;;;;;;;;;;;;;;clips/clip_weißt_03_sub_0.mp4;audios/silence.mp3;visual;[];3;None;3;4.981.360.100.209.710;None;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;27;0;27;;;;None;None;;;;;;;;;;;;;27;0;27;0;6.527.227.318.999.350;;;;;;;;;;;;;;;;clips/clip_weißt_20_sub_1.mp4;audios/clip_weißt_20_sub_1.mp3;audiovisual;[8.177734999917448];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;28;0;28;;;;4;None;4.779.878.200.031.810;None;;;;;;;;;;;28;0;28;0;6.633.369.392.999.440;;;;;;;;;;;;;;;;clips/clip_wurst_30_sub_1.mp4;audios/clip_wurst_30_sub_1.mp3;audiovisual;[];4;None;4;4.779.878.200.031.810;None;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
