instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,piloting,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,practice_trials.prac_attention_resp.keys,Practice_correct_key_required,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

(Drücken Sie die Leertaste, um fortzufahren)",4,4,0,,,,,,,,,,0,4,4,4,,,,,,,,,23.127654199954122,,False,2,ich stimme zu,,,,,,,,,,,,,,,,,,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,0,0,0,None,,,,,,,,,,,,,0,0,0,0,,,,,101.08537069987506,,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,visual,nosub,False,[6.844203800428659],None,,,,,,,,,,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,1,0,1,1,9.287807299755514,None,,,,,,,,,,,1,0,1,0,,,,,113.42369659990072,,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,audiovisual,sub,True,[0.2989244000054896],1,1,9.287807299755514,None,,,,,,,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,2,0,2,1,5.935771200340241,None,,,,,,,,,,,2,0,2,0,,,,,134.9488609000109,,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,visual,sub,True,[6.819658999796957],1,1,5.935771200340241,None,,,,,,,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,3,0,3,None,,,,,,,,,,,,,3,0,3,0,,,,,150.14345490001142,,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,audiovisual,sub,False,[],None,,,,,,,,,,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,4,0,4,3,13.73509219987318,None,,,,,,,,,,,4,0,4,0,,,,,160.75462190015242,,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,visual,nosub,True,[0.4215371999889612],3,3,13.73509219987318,None,,,,,,,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,5,0,5,4,9.33447299990803,None,,,,,,,,,,,5,0,5,0,,,,,185.62796960026026,,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,visual,sub,True,[],4,4,9.33447299990803,None,,,,,,,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,6,0,6,None,,,,,,,,,,,,,6,0,6,0,,,,,204.3140680999495,,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,visual,sub,False,[],None,,,,,,,,,,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,7,0,7,None,,,,,,,,,,,,,7,0,7,0,,,,,214.54232730017975,,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,audiovisual,nosub,False,[5.452967999968678],None,,,,,,,,,,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
