instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.keys,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,piloting,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,Practice_correct_key_required,practice_trials.prac_attention_resp.keys,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,correct_key_required,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.keys,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

(Drücken Sie die Leertaste, um fortzufahren)",4,4,0,,,,,,,,,,0,4,4,4,,,,,,,,,19.665921799838543,,False,1,ich stimme zu,,,,,,,,,,,,,,,,,,,,,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,0,0,0,3,7.763604899868369,None,,,,,,,,,,,0,0,0,0,,,,,27.383474600035697,,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,visual,sub,True,[],3,3,7.763604899868369,None,,,,,,,,,,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,1,0,1,None,,,,,,,,,,,,,1,0,1,0,,,,,44.864449199754745,,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,audiovisual,sub,False,[],,None,,,,,,,,,,,,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,2,0,2,None,,,,,,,,,,,,,2,0,2,0,,,,,55.44196100020781,,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,visual,nosub,False,[1.6696548000909388],,None,,,,,,,,,,,,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,3,0,3,3,7.027044999878854,None,,,,,,,,,,,3,0,3,0,,,,,66.43128640018404,,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,audiovisual,nosub,True,[],3,3,7.027044999878854,None,,,,,,,,,,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,4,0,4,None,,,,,,,,,,,,,4,0,4,0,,,,,85.30589730013162,,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,visual,sub,False,[],,None,,,,,,,,,,,,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,5,0,5,None,,,,,,,,,,,,,5,0,5,0,,,,,95.92471719998866,,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,audiovisual,sub,False,[5.8849589000456035],,None,,,,,,,,,,,,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,6,0,6,None,,,,,,,,,,,,,6,0,6,0,,,,,107.74238209985197,,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,visual,nosub,False,[6.903508999850601],,None,,,,,,,,,,,,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,7,0,7,1,6.259495900012553,None,,,,,,,,,,,7,0,7,0,,,,,120.61306039988995,,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,audiovisual,sub,True,"[0.4865101999603212, 9.496645299717784]",2,1,6.259495900012553,None,,,,,,,,,,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,8,0,8,None,,,,,,,,,,,,,8,0,8,0,,,,,137.7406548000872,,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,audiovisual,nosub,False,[],,None,,,,,,,,,,,,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,9,0,9,None,,,,,,,,,,,,,9,0,9,0,,,,,149.4302902999334,,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,audiovisual,nosub,False,[],,None,,,,,,,,,,,,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,10,0,10,None,,,,,,,,,,,,,10,0,10,0,,,,,160.0924784000963,,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,visual,sub,False,[6.188252599909902],,None,,,,,,,,,,,,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,11,0,11,2,5.4735270999372005,None,,,,,,,,,,,11,0,11,0,,,,,169.96551690017805,,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,visual,sub,True,[6.5755074000917375],2,2,5.4735270999372005,None,,,,,,,,,,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,0,0,0,,,,3,4.74364549992606,None,None,,,,,,,,,,,0,0,0,0,239.55627800012007,,,,,,,,,,,,,,,,clips/clip_herz_11_nosub_0.mp4,audios/clip_herz_11_nosub_0.mp3,audiovisual,[5.029068499803543],4,3,4.74364549992606,None,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,1,0,1,,,,None,,,None,,,,,,,,,,,1,0,1,0,254.47448370000347,,,,,,,,,,,,,,,,clips/clip_hund_29_sub_0.mp4,audios/silence.mp3,visual,[10.686121900100261],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,2,0,2,,,,2,4.09449280006811,None,None,,,,,,,,,,,2,0,2,0,266.6790771000087,,,,,,,,,,,,,,,,clips/clip_lied_03_sub_1.mp4,audios/silence.mp3,visual,[4.43398159975186],3,2,4.09449280006811,None,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,3,0,3,,,,None,,,None,,,,,,,,,,,3,0,3,0,282.1779275997542,,,,,,,,,,,,,,,,clips/clip_hund_18_sub_1.mp4,audios/silence.mp3,visual,[7.086483799852431],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,4,0,4,,,,None,,,None,,,,,,,,,,,4,0,4,0,293.38045870000497,,,,,,,,,,,,,,,,clips/clip_weißt_30_nosub_2.mp4,audios/silence.mp3,visual,"[3.0980983995832503, 11.98874029982835]",,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,5,0,5,,,,None,,,None,,,,,,,,,,,5,0,5,0,305.9487466001883,,,,,,,,,,,,,,,,clips/clip_hund_07_sub_1.mp4,audios/clip_hund_07_sub_1.mp3,audiovisual,[6.627903599757701],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,6,0,6,,,,None,,,None,,,,,,,,,,,6,0,6,0,318.4038439001888,,,,,,,,,,,,,,,,clips/clip_herz_07_nosub_2.mp4,audios/clip_herz_07_nosub_2.mp3,audiovisual,"[4.087256799917668, 10.730202000122517]",,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,7,0,7,,,,None,,,None,,,,,,,,,,,7,0,7,0,331.2466369001195,,,,,,,,,,,,,,,,clips/clip_holo_10_nosub_1.mp4,audios/clip_holo_10_nosub_1.mp3,audiovisual,[6.039462599903345],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
